Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AFLATOXIN B1 CTD 00007128	8/3081	3.9330428775693316E-4	0.002277024823855929	0	0	7.33832302852804	57.539254997281105	CCNA2;CDC20;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
2-CHLOROETHYL ETHYL SULFIDE CTD 00001489	2/45	4.427775949754095E-4	0.0025411583711632195	0	0	77.2984496124031	596.9328677908948	CCNB1;TXNRD1
dirithromycin HL60 DOWN	4/556	4.73642120408491E-4	0.002671827345894052	0	0	14.082608695652175	107.80319398472973	CDC20;CTBP2;KIF11;BUB1
POTASSIUM DICHROMATE CTD 00006598	4/556	4.73642120408491E-4	0.002671827345894052	0	0	14.082608695652175	107.80319398472973	CCNA2;CCNB2;RRM2;UBE2C
Phytoestrogens CTD 00007437	2/48	5.038936977770158E-4	0.0028183884790917834	0	0	72.2463768115942	548.5772314174202	CCNA2;RRM2
Aflodac CTD 00006817	3/234	5.232010915831517E-4	0.0029017875667636983	0	0	23.32349468713105	176.2217060032772	CCNA2;CCNB1;AURKA
gemcitabine CTD 00002382	3/235	5.297474223139825E-4	0.0029136108227269036	0	0	23.2217868338558	175.16449774827413	CCNB1;RRM2;UBE2C
506-26-3 CTD 00007216	2/50	5.467878206419364E-4	0.0029824790216832894	0	0	69.22916666666667	520.0114050756229	CCNA2;TXNRD1
Retinoic acid CTD 00006918	9/4258	6.217177185299552E-4	0.0033633909363095936	0	0	6.6666509767004	49.22004680703957	CCNA2;CDC20;CCNB2;SMAD4;CCNB1;RRM2;UBE2C;HSPG2;BUB1
Alvocidib CTD 00002892	2/58	7.3547385272901E-4	0.003914618893557633	0	0	59.31547619047619	427.96089788083634	CCNA2;CCNB1
nocodazole CTD 00007087	2/58	7.3547385272901E-4	0.003914618893557633	0	0	59.31547619047619	427.96089788083634	CCNB1;BUB1
niclosamide HL60 DOWN	3/267	7.679226408487115E-4	0.004054631543681197	0	0	20.373966942148762	146.1184553366955	CCNA2;RRM2;KIF11
scriptaid CTD 00003819	2/60	7.86901835472271E-4	0.004121866757235706	0	0	57.264367816091955	409.2917462362553	CCNB2;KIF11
