Term,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
roscovitine TTD 00010683,3.03E-05,2.45E-04,0,0,330.1818182,3435.359022,CCNA2;CCNB1
menadione CTD 00007386,4.11E-05,3.28E-04,0,0,14.25018896,143.936757,CCNA2;CCNB2;CTBP2;UBE2C;TXNRD1;BUB1
caffeine CTD 00005556,5.08E-05,4.01E-04,0,0,53.23660714,526.3981792,CCNB1;TXNRD1;BUB1
Calpain inhibitor I CTD 00002578,5.27E-05,4.11E-04,0,0,242.0848485,2384.526542,CDC20;CCNB1
Tylophorine CTD 00000134,5.93E-05,4.57E-04,0,0,226.9431818,2208.734624,CCNA2;CCNB1
vincristine CTD 00006988,6.75E-05,5.09E-04,0,0,12.96990661,124.5615855,CCNA2;CCNB2;CCNB1;RRM2;UBE2C;AURKA
MERCURY CTD 00006274,6.78E-05,5.09E-04,0,0,24.2308642,232.6066473,CCNB2;UBE2C;TXNRD1;BUB1
hydrogen peroxide CTD 00006118,6.93E-05,5.15E-04,0,0,10.39969981,99.6048668,CCNA2;CDC20;CCNB2;CCNB1;UBE2C;TXNRD1;BUB1;AURKA
Chromium(VI) CTD 00002830,7.32E-05,5.37E-04,0,0,46.91338583,446.7408538,CCNB1;BUB1B;BUB1
Arsenenous acid CTD 00000922,7.99E-05,5.77E-04,0,0,12.55845173,118.4902661,CCNA2;CDC20;CCNB1;RRM2;UBE2C;TXNRD1
chlorzoxazone HL60 DOWN,8.09E-05,5.77E-04,0,0,12.52700893,118.0295514,CDC20;CCNB1;RRM2;TXNRD1;KIF11;BUB1
Nobiletin CTD 00000424,8.13E-05,5.77E-04,0,0,191.0813397,1799.407669,CCNA2;KIF11
GW-8510 MCF7 DOWN,8.23E-05,5.78E-04,0,0,12.48531375,117.4193339,CCNA2;CDC20;CCNB1;BUB1B;KIF11;AURKA
sodium azide CTD 00007311,8.94E-05,6.21E-04,0,0,181.5181818,1692.117559,CCNA2;CCNB1
GW-8510 PC3 DOWN,9.05E-05,6.22E-04,0,0,12.26055568,114.1442054,CCNA2;CCNB2;CCNB1;BUB1B;KIF11;AURKA
IN1541 CTD 00001481,9.79E-05,6.66E-04,0,0,172.8658009,1595.797167,CCNA2;CCNB1
Dronabinol CTD 00006853,9.96E-05,6.70E-04,0,0,21.87493021,201.5700501,CCNA2;RRM2;UBE2C;TXNRD1
"2H-1-Benzopyran-2-one, 7-[(3,7-dimethyl-2,6-octadienyl)oxy]- CTD 00003446",1.07E-04,7.11E-04,0,0,165,1508.888145,CCNA2;CCNB2
thioguanosine PC3 DOWN,1.12E-04,7.37E-04,0,0,40.48979592,368.3668755,CCNA2;BUB1B;KIF11
apicidin CTD 00003381,1.16E-04,7.56E-04,0,0,157.8181818,1430.110648,CCNA2;CCNB1
Antimycin A CTD 00005427,1.26E-04,8.11E-04,0,0,151.2348485,1358.404163,CCNA2;CCNB1
roscovitine CTD 00003426,1.46E-04,9.33E-04,0,0,139.5874126,1232.800775,CCNA2;CCNB1
MG-132 CTD 00002789,1.71E-04,0.001079804,0,0,34.97117647,303.4015093,CDC20;CCNB1;TXNRD1
0175029-0000 MCF7 DOWN,1.82E-04,0.001143125,0,0,10.70271833,92.13885553,CCNA2;CCNB1;RRM2;CTBP2;KIF11;AURKA
AFLATOXIN B1 CTD 00007128,1.95E-04,0.001209258,0,0,8.806508298,75.23333279,CCNA2;CDC20;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
Romidepsin CTD 00003096,2.56E-04,0.001560571,0,0,103.6467532,857.0184713,CCNA2;CCNB1
malathion CTD 00006233,2.56E-04,0.001560571,0,0,103.6467532,857.0184713,CDC20;BUB1
pentoxifylline CTD 00006487,2.85E-04,0.001718671,0,0,98.03439803,800.2223504,CCNA2;CCNB1
Equol CTD 00007470,3.15E-04,0.001865316,0,0,92.997669,749.7563133,CCNA2;CCNB2
mephentermine HL60 DOWN,3.15E-04,0.001865316,0,0,92.997669,749.7563133,CDC20;CCNB1
Allyl sulfide CTD 00001796,3.31E-04,0.001939903,0,0,90.66818182,726.5852544,CCNB1;TXNRD1
dirithromycin HL60 DOWN,3.46E-04,0.001991209,0,0,15.64814815,124.7061606,CDC20;CTBP2;KIF11;BUB1
POTASSIUM DICHROMATE CTD 00006598,3.46E-04,0.001991209,0,0,15.64814815,124.7061606,CCNA2;CCNB2;RRM2;UBE2C
2-CHLOROETHYL ETHYL SULFIDE CTD 00001489,3.80E-04,0.002168419,0,0,84.32980973,664.1109545,CCNB1;TXNRD1
