#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CSGALNACT2	SDC4	9606.ENSP00000363590	9606.ENSP00000361818	0	0	0	0	0	0	0	0.414	0.414
CTBP1	RCOR1	9606.ENSP00000290921	9606.ENSP00000262241	0	0	0	0	0	0.678	0	0.992	0.997
CTBP1	SMARCA1	9606.ENSP00000290921	9606.ENSP00000360162	0	0	0	0	0.064	0.166	0	0.457	0.54
CTBP1	KLF8	9606.ENSP00000290921	9606.ENSP00000417303	0	0	0	0	0.062	0.296	0	0.691	0.778
CTBP1	NOL4L	9606.ENSP00000290921	9606.ENSP00000483523	0	0	0	0	0	0.836	0	0.215	0.865
CTBP1	SCMH1	9606.ENSP00000290921	9606.ENSP00000318094	0	0	0	0	0	0	0.9	0	0.9
CTBP1	SAP30	9606.ENSP00000290921	9606.ENSP00000296504	0	0	0	0	0.062	0	0.9	0.091	0.907
CTBP1	SMAD4	9606.ENSP00000290921	9606.ENSP00000341551	0	0	0	0	0.049	0.056	0.9	0.287	0.927
CTBP1	KLF12	9606.ENSP00000290921	9606.ENSP00000366897	0	0	0	0	0	0.62	0	0.883	0.953
CTBP1	CTBP2	9606.ENSP00000290921	9606.ENSP00000311825	0	0	0.321	0.98	0.075	0.88	0.8	0.976	0.976
CTBP1	TGIF1	9606.ENSP00000290921	9606.ENSP00000327959	0	0	0	0	0	0.746	0.9	0.678	0.991
CTBP2	RCOR1	9606.ENSP00000311825	9606.ENSP00000262241	0	0	0	0	0	0.27	0	0.84	0.879
CTBP2	KLF13	9606.ENSP00000311825	9606.ENSP00000302456	0	0	0	0	0	0.076	0	0.384	0.408
CTBP2	TGIF1	9606.ENSP00000311825	9606.ENSP00000327959	0	0	0	0	0	0.684	0	0.327	0.778
CTBP2	KLF8	9606.ENSP00000311825	9606.ENSP00000417303	0	0	0	0	0.062	0.296	0	0.876	0.912
CTSZ	SEC24D	9606.ENSP00000217131	9606.ENSP00000280551	0	0	0	0	0	0	0.6	0.081	0.616
CUEDC1	NACC2	9606.ENSP00000462717	9606.ENSP00000277554	0	0	0	0	0.128	0	0	0.369	0.426
CYSTM1	ZNF354B	9606.ENSP00000261811	9606.ENSP00000327143	0	0	0	0	0	0	0	0.46	0.459
DBN1	SYNPO	9606.ENSP00000292385	9606.ENSP00000377789	0	0	0	0	0.062	0.129	0	0.401	0.468
DBN1	PDLIM7	9606.ENSP00000292385	9606.ENSP00000348099	0	0.317	0	0	0.119	0	0	0.195	0.474
DBN1	LRRFIP1	9606.ENSP00000292385	9606.ENSP00000375857	0	0	0	0	0	0.131	0	0.553	0.595
DDHD2	TACC1	9606.ENSP00000380352	9606.ENSP00000321703	0	0	0	0	0	0	0	0.409	0.409
DDHD2	SPG20	9606.ENSP00000380352	9606.ENSP00000414147	0	0	0	0	0	0	0	0.663	0.663
DDIT4	TRIB3	9606.ENSP00000307305	9606.ENSP00000217233	0	0	0	0	0.084	0	0	0.383	0.411
DDIT4	P4HA1	9606.ENSP00000307305	9606.ENSP00000263556	0	0	0	0	0.065	0	0	0.388	0.403
DDIT4	VEGFA	9606.ENSP00000307305	9606.ENSP00000478570	0	0	0	0	0.076	0	0	0.392	0.414
DDIT4	SLC2A1	9606.ENSP00000307305	9606.ENSP00000416293	0	0	0	0	0.083	0	0	0.416	0.441
DGCR8	NACC2	9606.ENSP00000263209	9606.ENSP00000277554	0	0	0	0	0	0.056	0	0.397	0.406
DGCR8	MUS81	9606.ENSP00000263209	9606.ENSP00000307853	0	0	0	0	0.062	0	0.54	0	0.55
DGCR8	TNRC6A	9606.ENSP00000263209	9606.ENSP00000379144	0	0	0	0	0	0	0	0.659	0.659
DGKQ	PITPNM1	9606.ENSP00000273814	9606.ENSP00000348772	0	0	0	0	0.137	0	0	0.363	0.427
DGKQ	SNCA	9606.ENSP00000273814	9606.ENSP00000338345	0	0	0	0	0.062	0	0	0.469	0.48
DOCK11	LAMA5	9606.ENSP00000276202	9606.ENSP00000252999	0	0	0	0	0	0	0	0.634	0.634
DSG2	EPPK1	9606.ENSP00000261590	9606.ENSP00000484472	0	0	0	0	0.098	0.057	0	0.468	0.507
DSG2	KRT8	9606.ENSP00000261590	9606.ENSP00000449404	0	0	0	0	0.353	0.056	0	0.31	0.542
DVL1	WNT7B	9606.ENSP00000368169	9606.ENSP00000341032	0	0	0	0	0	0.237	0	0.76	0.81
DVL1	SMAD4	9606.ENSP00000368169	9606.ENSP00000341551	0	0	0	0	0.062	0.345	0	0.317	0.544
DVL1	NOXA1	9606.ENSP00000368169	9606.ENSP00000342848	0	0	0	0	0.135	0.107	0.6	0	0.664
DVL1	LRRFIP1	9606.ENSP00000368169	9606.ENSP00000375857	0	0	0	0	0	0	0	0.453	0.454
DVL1	ITCH	9606.ENSP00000368169	9606.ENSP00000480499	0	0	0	0	0	0.324	0	0.445	0.609
EIF2AK2	XBP1	9606.ENSP00000233057	9606.ENSP00000216037	0	0	0	0	0.049	0	0	0.74	0.742
