NAME	TITLE	SCORE	
MPDZ	multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]	4.560866	
PRR36	proline rich 36 [Source:HGNC Symbol;Acc:HGNC:26172]	4.560157	
CDKL2	cyclin dependent kinase like 2 [Source:HGNC Symbol;Acc:HGNC:1782]	4.5595756	
HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	4.558905	
ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	4.555801	
ANKRD37	ankyrin repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:29593]	4.5542936	
LY6K	lymphocyte antigen 6 family member K [Source:HGNC Symbol;Acc:HGNC:24225]	4.553051	
SLC8A2	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	4.551421	
MPP3	MAGUK p55 scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:7221]	4.551161	
PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	4.550817	
PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	4.5484266	
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:17827]	4.5481205	
CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	4.5480013	
PFKP-DT	PFKP divergent transcript [Source:HGNC Symbol;Acc:HGNC:55177]	4.545461	
GPRASP1	G protein-coupled receptor associated sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:24834]	4.5412927	
AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]	4.537572	
INE1	inactivation escape 1 [Source:HGNC Symbol;Acc:HGNC:6060]	4.5366	
SCIRT	stem cell inhibitory RNA transcript [Source:HGNC Symbol;Acc:HGNC:55341]	4.533946	
SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	4.533562	
TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	4.5315204	
FBXL19-AS1	FBXL19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27557]	4.5280795	
H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	4.5276713	
GKAP1	G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]	4.524128	
EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	4.5199876	
MSC	musculin [Source:HGNC Symbol;Acc:HGNC:7321]	4.5184455	
SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	4.512854	
MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	4.510923	
CSRNP1	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	4.5084877	
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	4.5056605	
MAGI2-AS3	MAGI2 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40862]	4.503798	
AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	4.5024543	
TPT1-AS1	TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686]	4.500691	
CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	4.5005674	
ENSG00000229261	novel transcript, antisense to HKDC1	4.5000257	
MIR222HG	miR222/221 cluster host gene [Source:HGNC Symbol;Acc:HGNC:49555]	4.4994807	
TJAP1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	4.499048	
KDM7A-DT	KDM7A divergent transcript [Source:HGNC Symbol;Acc:HGNC:48959]	4.4965515	
H3C1	H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766]	4.495676	
FAM131B-AS2	FAM131B antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56141]	4.494179	
CEROX1	cytoplasmic endogenous regulator of oxidative phosphorylation 1 [Source:HGNC Symbol;Acc:HGNC:53928]	4.4907827	
WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	4.490024	
FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	4.486945	
FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	4.4863153	
JDP2	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	4.4862084	
APCDD1L	APC down-regulated 1 like [Source:HGNC Symbol;Acc:HGNC:26892]	4.4852405	
PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]	4.483561	
NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]	4.482883	
SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	4.482556	
YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]	4.478769	
KIF7	kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497]	4.478748	
TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	4.4780173	
STARD8	StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]	4.4747963	
ZNF426-DT	ZNF426 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53777]	4.470844	
ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	4.4612575	
SPINDOC	spindlin interactor and repressor of chromatin binding [Source:HGNC Symbol;Acc:HGNC:25115]	4.460295	
ZNF671	zinc finger protein 671 [Source:HGNC Symbol;Acc:HGNC:26279]	4.4601874	
B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	4.458506	
