Gene_ID,Clade IIb,Clade I,Clade IIa,Zaire,,,,,,,,,,
NDUFB11,-1.77577287,-0.885162708,-0.91966911,NA,,,,,,,,,,
POLR2K,-1.016799002,-0.909417828,-0.968750356,NA,,,,,,,,,,
EIF3H,-1.840220589,-0.609983749,-0.744529482,NA,,,,,,,,,,
GPR107,-1.086831661,-0.6961522,-0.91971322,NA,,,,,,,,,,
ADD3,-1.05761241,NA,NA,NA,,,,,,,,,,
SYT8,-3.420697266,NA,NA,NA,,,,,,,,,,
SSRP1,-1.192686714,-0.790912634,-0.743728173,-0.395,,,,,,,,,,
SESN3,-1.155057082,NA,NA,NA,,,,,,,,,,
VPS51,-1.037365547,NA,-0.93873434,NA,,,,,,,,,,
BTBD11,-2.395643083,NA,NA,NA,,,,,,,,,,
NBAS,-1.196777922,NA,NA,NA,,,,,,,,,,
HSPB8,-1.089837736,NA,NA,NA,,,,,,,,,,
PFKM,-1.413282314,NA,-0.884287941,-0.433875,,,,,,,,,,
SKA1,-2.186731221,NA,NA,NA,,,,,,,,,,
TMEM237,-1.534225469,NA,NA,NA,,,,,,,,,,
RAET1L,-1.123282974,-0.512518506,-0.758589884,NA,,,,,,,,,,
PSD3,-1.638214439,NA,NA,NA,,,,,,,,,,
BUB1B,-2.431458242,NA,NA,-0.34975,,,,,,,,,,
SSBP3,-1.395013855,NA,NA,NA,,,,,,,,,,
CCNB2,-1.603112433,NA,NA,NA,,,,,,,,,,
SLC35B2,-1.498663292,NA,NA,NA,,,,,,,,,,
SPPL3,-1.407346071,NA,NA,NA,,,,,,,,,,
XDH,-1.289665508,NA,NA,NA,,,,,,,,,,
TENT5B,-1.687621541,NA,-0.321570328,NA,,,,,,,,,,
ADIPOR1,-1.058440721,-0.915996464,-0.969153233,NA,,,,,,,,,,
LCE2B,-1.284258893,NA,NA,NA,,,,,,,,,,
LYPD5,-1.936832006,NA,NA,NA,,,,,,,,,,
CALM3,-1.072241542,-0.594815117,-0.791828331,NA,,,,,,,,,,
ZNF385A,-2.022756251,-0.507471374,NA,NA,,,,,,,,,,
JMJD8,-1.595740804,NA,NA,NA,,,,,,,,,,
GBP2,-1.961905339,1.690822877,NA,NA,,,,,,,,,,
C1orf74,-1.054294879,NA,-0.841532268,NA,,,,,,,,,,
SPATA18,-2.607111824,NA,NA,NA,,,,,,,,,,
SPRR3,-2.395550882,-0.716559398,NA,NA,,,,,,,,,,
SPRR2D,-2.390796129,NA,-0.80316308,NA,,,,,,,,,,
GPR155,-2.69242839,NA,NA,NA,,,,,,,,,,
KIAA1143,-1.443179706,NA,NA,NA,,,,,,,,,,
NSA2,-1.367465959,-0.881917797,-0.929359221,NA,,,,,,,,,,
ADGRF2,-4.420363453,NA,NA,NA,,,,,,,,,,
