Category,Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0070863~positive regulation of protein exit from endoplasmic reticulum,,3,1.214574899,0.007370776,"CD81, SORL1, TM9SF4",235,11,19462,22.58646035,0.999993622,0.627291828,0.624188343
GOTERM_BP_DIRECT,GO:0045616~regulation of keratinocyte differentiation,,3,1.214574899,0.008775246,"GRHL1, ABCA12, AQP3",235,12,19462,20.70425532,0.999999354,0.639597848,0.63643348
GOTERM_BP_DIRECT,GO:0045842~positive regulation of mitotic metaphase/anaphase transition,,3,1.214574899,0.011909586,"CDC20, CDC23, DLGAP5",235,14,19462,17.74650456,0.999999996,0.713251888,0.709723122
GOTERM_BP_DIRECT,GO:0030174~regulation of DNA-dependent DNA replication initiation,,3,1.214574899,0.011909586,"WDR18, GMNN, MCM5",235,14,19462,17.74650456,0.999999996,0.713251888,0.709723122
GOTERM_BP_DIRECT,GO:0051310~metaphase plate congression,,3,1.214574899,0.011909586,"CENPF, KIF2C, NDC80",235,14,19462,17.74650456,0.999999996,0.713251888,0.709723122
GOTERM_BP_DIRECT,GO:0007051~spindle organization,,3,1.214574899,0.021515978,"ASPM, KIF11, AURKA",235,19,19462,13.07637178,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0051445~regulation of meiotic cell cycle,,3,1.214574899,0.02371979,"CDC20, ASPM, CDC23",235,20,19462,12.42255319,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0007064~mitotic sister chromatid cohesion,,3,1.214574899,0.02371979,"CDC20, CDCA5, SMC1A",235,20,19462,12.42255319,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0033189~response to vitamin A,,3,1.214574899,0.02371979,"ARG1, RBP1, PPARD",235,20,19462,12.42255319,1,0.991051342,0.986148182
GOTERM_BP_DIRECT,GO:0051000~positive regulation of nitric-oxide synthase activity,,3,1.214574899,0.036015685,"SCARB1, CALM3, HIF1A",235,25,19462,9.938042553,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0006656~phosphatidylcholine biosynthetic process,,3,1.214574899,0.036015685,"SLC44A5, SLC44A3, SLC44A2",235,25,19462,9.938042553,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0044772~mitotic cell cycle phase transition,,3,1.214574899,0.036015685,"CCNA2, CCNB2, CCNB1",235,25,19462,9.938042553,1,1,0.995668317
GOTERM_BP_DIRECT,GO:0003148~outflow tract septum morphogenesis,,3,1.214574899,0.038713893,"NRP2, SEMA3C, MSX2",235,26,19462,9.555810147,1,1,0.995668317
