ID,MetaColumn,MetaRow,Column,Row,CLONE_ID,SPOT_ID,Reporter.Species,Reporter.BioSequence.Database.Entry..preferredName.,Repoter.Biosequence.Type,Repoter.BioSequence.PolymerType,CompositeSequence.Identifier,GeneId,CompositeSequence.Biosequence.Type,Plate.Identifier,Plate.Row,Plate.Column,LUID,Failed,Contaminated,Mpox.F.Mock.F,Mpox.F.Killed.F,Killed.F.Mock.F,AveExpr,F,P.Value,adj.P.Val,log2FC
9009,3,3,9,1,IMAGE:1334306,,Homo sapiens,cDNA_clone,DNA,Experimental,10238,gene,DNA,B,3,20546,0,U,U,-0.142125,-0.119375,-0.02275,-0.024208333,1.049511824,0.36587044,0.477542865,-0.142125
33836,2,10,26,18,IMAGE:610199,,Homo sapiens,cDNA_clone,DNA,Experimental,"Malate dehydrogenase 2, NAD (mitochondrial)",gene,DNA,O,22,26591,0,U,U,-0.477125,-0.672375,0.19525,3.408041667,1.049472382,0.365883693,0.477542865,-0.477125
21946,1,7,16,12,IMAGE:814257,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.331478,gene,DNA,D,19,3862,0,U,U,-0.13125,-0.211,0.07975,-0.102166667,1.049126377,0.365999981,0.477675865,-0.13125
19245,2,6,15,12,IMAGE:700679,,Homo sapiens,cDNA_clone,DNA,Experimental,"Transcribed locus, strongly similar to NP_057953.1 paired box 5; B-cell lineage specific activator protein; paired box homeotic gene 5; paired box gene 5 (B-cell lineage specific activator protein) [H",gene,DNA,C,6,3567,0,U,U,0.231375,0.180875,0.0505,0.096083333,1.048738749,0.366130304,0.477804364,0.231375
23938,3,7,28,18,IMAGE:753794,,Homo sapiens,cDNA_clone,DNA,Experimental,Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant),gene,DNA,B,19,28906,0,U,U,-0.077875,0.138,-0.215875,-0.073416667,1.048729151,0.366133532,0.477804364,-0.077875
35140,4,10,10,2,IMAGE:1301372,,Homo sapiens,cDNA_clone,DNA,Experimental,"Family with sequence similarity 81, member A",gene,DNA,M,22,11795,0,U,U,0.19825,0.2825,-0.08425,-0.947375,1.048700358,0.366143214,0.477804364,0.19825
33002,1,10,2,21,IMAGE:1317296,,Homo sapiens,cDNA_clone,DNA,Experimental,9765,gene,DNA,D,22,12791,0,U,U,-0.235875,0.073125,-0.309,-0.339375,1.048658873,0.366157166,0.477804364,-0.235875
9360,3,3,30,12,IMAGE:1665454,,Homo sapiens,cDNA_clone,DNA,Experimental,84141,gene,DNA,N,15,600944,0,U,U,-0.191,-0.184625,-0.006375,-0.959416667,1.048600954,0.366176644,0.477804364,-0.191
36564,1,11,24,19,IMAGE:1884426,,Homo sapiens,cDNA_clone,DNA,Experimental,WDR46,gene,DNA,H,23,531248,0,U,U,0.153375,0.170375,-0.017,-0.529416667,1.048564674,0.366188846,0.477804364,0.153375
29880,2,9,30,6,IMAGE:1371500,,Homo sapiens,cDNA_clone,DNA,Experimental,Hypothetical protein LOC285074,gene,DNA,G,21,19535,0,U,U,0.217375,0.16575,0.051625,-0.583208333,1.048533995,0.366199165,0.477804364,0.217375
6991,4,2,1,24,IMAGE:1303641,,Homo sapiens,cDNA_clone,DNA,Experimental,SH3RF1,gene,DNA,E,2,13081,0,U,U,-0.36925,-0.176125,-0.193125,0.776791667,1.048488868,0.366214343,0.477805394,-0.36925
19155,2,6,15,9,IMAGE:1336568,,Homo sapiens,cDNA_clone,DNA,Experimental,8745,gene,DNA,O,6,13623,0,U,U,0.23525,0.302375,-0.067125,-1.119833333,1.047693315,0.366482039,0.478135873,0.23525
3705,1,2,15,4,IMAGE:611480,,Homo sapiens,cDNA_clone,DNA,Experimental,775,gene,DNA,D,2,529389,0,U,U,-0.254125,-0.2565,0.002375,2.210333333,1.047634382,0.366501878,0.47814297,-0.254125
36964,2,11,4,3,IMAGE:2160626,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.433656,gene,DNA,O,23,531776,0,U,U,0.256875,0.342875,-0.086,-1.834541667,1.047428257,0.366571276,0.478214718,0.256875
29870,2,9,20,6,IMAGE:291426,,Homo sapiens,cDNA_clone,DNA,Experimental,Acyl-CoA synthetase short-chain family member 1,gene,DNA,C,21,518839,0,U,U,0.639625,0.415125,0.2245,-2.053083333,1.047313548,0.366609902,0.478234177,0.639625
9033,3,3,3,2,IMAGE:1303499,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.125914,gene,DNA,B,3,12098,0,U,U,0.26225,0.225875,0.036375,-0.688333333,1.047263641,0.366626709,0.478234177,0.26225
36054,1,11,24,2,IMAGE:1357322,,Homo sapiens,cDNA_clone,DNA,Experimental,Hs.407580,gene,DNA,L,23,14856,0,U,U,-0.07825,0.101125,-0.179375,-0.22075,1.047255652,0.366629399,0.478234177,-0.07825
31577,4,9,17,3,IMAGE:2118402,,Homo sapiens,cDNA_clone,DNA,Experimental,,,,I,9,23381,0,U,U,-0.261125,-0.163375,-0.09775,-0.98625,1.047158001,0.366662287,0.478258288,-0.261125
