"initial_alias","converted_alias","name","description","namespace"
"MRPL11","65003","MRPL11","mitochondrial ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:14042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFA11","126328","NDUFA11","NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB1B","81876","RAB1B","RAB1B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18370]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2C","11065","UBE2C","ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLTB","1212","CLTB","clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TOM1L2","146691","TOM1L2","target of myb1 like 2 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11984]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC35A4","113829","SLC35A4","solute carrier family 35 member A4 [Source:HGNC Symbol;Acc:HGNC:20753]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZBTB8OS","339487","ZBTB8OS","zinc finger and BTB domain containing 8 opposite strand [Source:HGNC Symbol;Acc:HGNC:24094]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TYMS","7298","TYMS","thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM89B","23625","FAM89B","family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPFIA3","8541","PPFIA3","PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFAS1","441951","ZFAS1","ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"STX19","415117","STX19","syntaxin 19 [Source:HGNC Symbol;Acc:HGNC:19300]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GEMIN4","50628","GEMIN4","gem nuclear organelle associated protein 4 [Source:HGNC Symbol;Acc:HGNC:15717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKPD1","284353","NKPD1","NTPase KAP family P-loop domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24739]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BACE2","25825","BACE2","beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NLRP10","338322","NLRP10","NLR family pyrin domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21464]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XKRX","402415","XKRX","XK related X-linked [Source:HGNC Symbol;Acc:HGNC:29845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHB3","2049","EPHB3","EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAA38","84316","NAA38","N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OVCH2","341277","OVCH2","ovochymase 2 [Source:HGNC Symbol;Acc:HGNC:29970]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TBL3","10607","TBL3","transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRELD2","79174","CRELD2","cysteine rich with EGF like domains 2 [Source:HGNC Symbol;Acc:HGNC:28150]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZBTB7C","201501","ZBTB7C","zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:HGNC:31700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBALD2","283991","UBALD2","UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMD13","5719","PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PMEL","6490","PMEL","premelanosome protein [Source:HGNC Symbol;Acc:HGNC:10880]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFIT1","3434","IFIT1","interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAMP1","3916","LAMP1","lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAPCD2","89958","SAPCD2","suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THBS2","7058","THBS2","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM183A","None","None","None",""
"NAP1L1","4673","NAP1L1","nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1X","4501","MT1X","metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHP1","11261","CHP1","calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISG15","9636","ISG15","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPRG1","285386","TPRG1","tumor protein p63 regulated 1 [Source:HGNC Symbol;Acc:HGNC:24759]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLDN4","1364","CLDN4","claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAOA","4128","MAOA","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALG1L","None","None","None",""
"RASSF10","644943","RASSF10","Ras association domain family member 10 [Source:HGNC Symbol;Acc:HGNC:33984]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEMA4A","64218","SEMA4A","semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IPO4","79711","IPO4","importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NACA","4666","NACA","nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PELI1","57162","PELI1","pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL21","219927","MRPL21","mitochondrial ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:14479]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HHLA3","None","None","None",""
"SERPINB2","5055","SERPINB2","serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPP4","1803","DPP4","dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCD1LG2","80380","PDCD1LG2","programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFD","1675","CFD","complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AADACL2","344752","AADACL2","arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMPRSS11F","389208","TMPRSS11F","transmembrane serine protease 11F [Source:HGNC Symbol;Acc:HGNC:29994]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GET3","439","GET3","guided entry of tail-anchored proteins factor 3, ATPase [Source:HGNC Symbol;Acc:HGNC:752]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1F","4494","MT1F","metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTNND1","1500","CTNND1","catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPS8","10920","COPS8","COP9 signalosome subunit 8 [Source:HGNC Symbol;Acc:HGNC:24335]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRC1","9055","PRC1","protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL39","6170","RPL39","ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFAP3L","101928198","MFAP3L","microfibril associated protein 3 like [Source:HGNC Symbol;Acc:HGNC:29083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFAP3L","9848","MFAP3L","microfibril associated protein 3 like [Source:HGNC Symbol;Acc:HGNC:29083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LOR","None","None","None",""
"LIPN","643418","LIPN","lipase family member N [Source:HGNC Symbol;Acc:HGNC:23452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAFB","9935","MAFB","MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMIM5","643008","SMIM5","small integral membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:40030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDHD","6392","SDHD","succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY6G6C","80740","LY6G6C","lymphocyte antigen 6 family member G6C [Source:HGNC Symbol;Acc:HGNC:13936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSORS1C2","170680","PSORS1C2","psoriasis susceptibility 1 candidate 2 [Source:HGNC Symbol;Acc:HGNC:17199]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDSN","1041","CDSN","corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-E","3133","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1H","4496","MT1H","metallothionein 1H [Source:HGNC Symbol;Acc:HGNC:7400]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MT1M","4499","MT1M","metallothionein 1M [Source:HGNC Symbol;Acc:HGNC:14296]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-A","3105","HLA-A","major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERV3-1","2086","ERV3-1","endogenous retrovirus group 3 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:3454]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFS3","4722","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATF6B","1388","ATF6B","activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LTB4R2","56413","LTB4R2","leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FIS1","51024","FIS1","fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPTN","126638","RPTN","repetin [Source:HGNC Symbol;Acc:HGNC:26809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS52","6293","VPS52","VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TINCR","257000","TINCR","TINCR ubiquitin domain containing [Source:HGNC Symbol;Acc:HGNC:14607]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCAMP4","113178","SCAMP4","secretory carrier membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:30385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL41","6171","RPL41","ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LNCAROD","101928687","LNCAROD","lncRNA activating regulator of DKK1 [Source:HGNC Symbol;Acc:HGNC:50913]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"LNCAROD","105378305","LNCAROD","lncRNA activating regulator of DKK1 [Source:HGNC Symbol;Acc:HGNC:50913]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"AL159166.1","None","None","None",""
"LINC01819","102723854","LINC01819","long intergenic non-protein coding RNA 1819 [Source:HGNC Symbol;Acc:HGNC:52624]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"UQCRHL","440567","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZSCAN31","64288","ZSCAN31","zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WAKMAR2","100130476","WAKMAR2","wound and keratinocyte migration associated lncRNA 2 [Source:HGNC Symbol;Acc:HGNC:53754]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"EIF4EBP3","8637","EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3290]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSG4","5669","PSG1","pregnancy specific beta-1-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:9514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSG4","5672","PSG1","pregnancy specific beta-1-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:9514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSG4","5672","PSG4","pregnancy specific beta-1-glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:9521]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRAF2","11230","PRAF2","PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPRV1","151516","ASPRV1","aspartic peptidase retroviral like 1 [Source:HGNC Symbol;Acc:HGNC:26321]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"H2AFJ","55766","H2AJ","H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]","UNIPROT_GN"
"AC093866.1","None","None","None",""
"LINC02159","285629","LINC02159","long intergenic non-protein coding RNA 2159 [Source:HGNC Symbol;Acc:HGNC:27749]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"SLC22A18AS","5003","SLC22A18AS","SLC22A18 antisense RNA [Source:HGNC Symbol;Acc:HGNC:10965]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"SNHG9","None","None","None",""
"CARD17","None","None","None",""
"HCAR3","8843","HCAR3","hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AL732437.1","None","None","None",""
"C17ORF49","124944","C17orf49","chromosome 17 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28737]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00520","645687","LINC00520","long intergenic non-protein coding RNA 520 [Source:HGNC Symbol;Acc:HGNC:19843]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"GJA5","2702","GJA5","gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RASSF5","83593","RASSF5","Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIVAR","None","None","None",""
"SNHG25","None","None","None",""
"AC115522.1","None","None","None",""
"MMP28","79148","MMP28","matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:HGNC:14366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AC103718.1","None","None","None",""
