"","ID","MetaColumn","MetaRow","Column","Row","CLONE_ID","SPOT_ID","Reporter.Species","Reporter.BioSequence.Database.Entry..preferredName.","Repoter.Biosequence.Type","Repoter.BioSequence.PolymerType","CompositeSequence.Identifier","GeneId","CompositeSequence.Biosequence.Type","Plate.Identifier","Plate.Row","Plate.Column","LUID","Failed","Contaminated","logFC","AveExpr","t","P.Value","adj.P.Val","B","log2FC"
"22708",22708,2,7,28,7,"IMAGE:700564","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","O",19,1918,0,"U","U",-0.876833333333334,-0.542285714285714,-4.57616279669034,0.000368672483808712,0.0062969602930458,-0.209591945890542,-0.876833333333334
"13852",13852,4,4,22,12,"IMAGE:703776","","Homo sapiens","cDNA_clone","DNA","Experimental","","","","M",16,3632,0,"U","U",0.898583333333334,0.506357142857143,4.57581283487123,0.000368927917122405,0.0062969602930458,-0.210291987698089,0.898583333333334
"32317",32317,4,9,7,28,"","M5R_317_a","Variola virus","ss_oligo","DNA","Experimental","","","","A",9,31255,0,"U","U",5.88141666666667,-1.45614285714286,4.57580252701609,0.000368935443466911,0.0062969602930458,-0.210312607039744,5.88141666666667
"392",392,1,1,2,14,"IMAGE:34849","","Homo sapiens","cDNA_clone","DNA","Experimental","EEF2","gene","DNA","P",13,501147,0,"U","U",-0.963041666666667,0.510642857142857,-4.57453882326107,0.00036985933969101,0.00630968992935558,-0.2128405250832,-0.963041666666667
"21522",21522,4,6,12,28,"","F10R_106_s","Variola virus","ss_oligo","DNA","Experimental","","","","I",18,31456,0,"U","U",4.465125,-1.4615,4.57314953703459,0.000370877790443806,0.00632401960962241,-0.21561980826724,4.465125
"20163",20163,3,6,3,13,"IMAGE:770595","","Homo sapiens","cDNA_clone","DNA","Experimental","84232","gene","DNA","F",6,505211,0,"U","U",-0.994291666666667,0.3025,-4.57206385366425,0.000371675680975985,0.00633457643291106,-0.217791839258531,-0.994291666666667
"10821",10821,1,4,21,1,"IMAGE:341310","","Homo sapiens","cDNA_clone","DNA","Experimental","2487","gene","DNA","L",4,500638,0,"U","U",0.983291666666667,-0.105714285714286,4.57129447528143,0.00037224217911729,0.00634118131378026,-0.219331124502289,0.983291666666667
"11994",11994,2,4,24,10,"IMAGE:2062460","","Homo sapiens","cDNA_clone","DNA","Experimental","219","gene","DNA","K",16,531556,0,"U","U",-0.759875,-0.419285714285714,-4.57020336200465,0.000373047092682923,0.00635145724156661,-0.221514182596634,-0.759875
"27826",27826,3,8,16,28,"","M4R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","B",20,30092,0,"U","U",5.095375,-0.681142857142857,4.56999107342119,0.000373203905312609,0.00635145724156661,-0.221938932728039,5.095375
"26043",26043,1,8,3,29,"","N2R","Monkeypox virus (strain Zaire 77-0666)","ss_oligo","DNA","Experimental","","","","H",8,30834,0,"U","U",2.59220833333333,0.532071428571429,4.5688041467871,0.000374081907800359,0.00636334336970241,-0.224313820101506,2.59220833333333
"33219",33219,1,10,9,28,"","A31L_180_s","Variola virus","ss_oligo","DNA","Experimental","","","","H",10,31424,0,"U","U",6.44116666666667,-1.568,4.56639308410912,0.000375871970741374,0.0063907253067558,-0.22913839587082,6.44116666666667
"22692",22692,2,7,12,7,"IMAGE:815502","","Homo sapiens","cDNA_clone","DNA","Experimental","10746","gene","DNA","O",19,1342,0,"U","U",-0.609083333333333,-0.0737857142857143,-4.56470959044168,0.000377127069473527,0.0064089896655422,-0.232507371655085,-0.609083333333333
"28832",28832,1,9,2,2,"","EMPTY","Not Applicable","unknown_sequence","unknown_polymer","Control","","","","P",21,26303,0,"U","U",0.86475,-0.416142857142857,4.56394277888491,0.000377700177125977,0.00641565214578367,-0.234041976003183,0.86475
"8830",8830,2,3,10,25,"IMAGE:50990","","Homo sapiens","cDNA_clone","DNA","Experimental","220965","gene","DNA","C",15,501940,0,"U","U",-0.613208333333333,-0.399428571428571,-4.56338222341809,0.000378119696400869,0.00641970062413608,-0.235163834117697,-0.613208333333333
"11635",11635,1,4,25,28,"VACWR128","","Vaccinia virus (strain WR)","cDNA_clone","DNA","Experimental","","","","H",4,30590,0,"U","U",6.41291666666667,-1.33985714285714,4.56152544840092,0.000379512723917699,0.00644026549165509,-0.238880039152967,6.41291666666667
"23520",23520,3,7,30,4,"IMAGE:46365","","Homo sapiens","cDNA_clone","DNA","Experimental","57458","gene","DNA","N",19,509970,0,"U","U",0.751458333333333,-0.504071428571429,4.56038913027147,0.000380367832363326,0.00644775930372987,-0.241154436511978,0.751458333333333
"17015",17015,3,5,5,28,"","J3R_6_a","Variola virus","ss_oligo","DNA","Experimental","","","","N",5,31179,0,"U","U",3.48525,-1.44507142857143,4.56000233007636,0.000380659360259962,0.00644775930372987,-0.241928659958023,3.48525
