,P.Value,adj.P.Val,log2FC
PRAF2,0.000329866,0.007548728,-0.558625
ASPRV1,NA,NA,NA
H2AFJ,NA,NA,NA
AC093866.1,NA,NA,NA
LINC02159,NA,NA,NA
SLC22A18AS,0.018505984,0.065503806,0.428625
SNHG9,NA,NA,NA
CARD17,NA,NA,NA
HCAR3,0.011278133,0.049004242,-0.45125
AL732437.1,NA,NA,NA
C17ORF49,NA,NA,NA
LINC00520,NA,NA,NA
GJA5,0.904863132,0.929648993,0.0685
RASSF5,NA,NA,NA
LIVAR,NA,NA,NA
SNHG25,NA,NA,NA
AC115522.1,NA,NA,NA
MMP28,NA,NA,NA
AC103718.1,NA,NA,NA
