NAME	TITLE	SCORE	
TJAP1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	3.4961295	
USP36	ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]	3.4902608	
ZNF256	zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]	3.4830284	
FUBP1	far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]	3.481856	
BMAL1	basic helix-loop-helix ARNT like 1 [Source:HGNC Symbol;Acc:HGNC:701]	3.4787862	
PPP1R13B	protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]	3.4780405	
MED10	mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]	3.4768035	
ATP13A3	ATPase 13A3 [Source:HGNC Symbol;Acc:HGNC:24113]	3.476124	
GOLGA3	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]	3.4736853	
OGA	O-GlcNAcase [Source:HGNC Symbol;Acc:HGNC:7056]	3.473655	
JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	3.4733646	
TMEM185B	transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896]	3.4714336	
PLEKHA4	pleckstrin homology domain containing A4 [Source:HGNC Symbol;Acc:HGNC:14339]	3.4688134	
GAS2L3	growth arrest specific 2 like 3 [Source:HGNC Symbol;Acc:HGNC:27475]	3.4586046	
AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	3.4543996	
CCNL2	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	3.4504921	
AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	3.4484742	
MAP1LC3B	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]	3.4466217	
CLCN7	chloride voltage-gated channel 7 [Source:HGNC Symbol;Acc:HGNC:2025]	3.4452424	
