ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
HOTAIRM1,1.89831327,0.186791193,189.5343503,8.33E-25,2.35E-23,
AL445524.1,-1.413782873,0.564716022,12.30582794,0.003769064,0.013088346,
LINC00513,3.707681209,1.482660639,6.330763341,0.000972358,0.003980582,
LINC01503,-3.902263104,1.154183485,5.369995584,9.43E-05,0.000495882,
RPS28,-2.399168296,0.128269155,326.2729771,8.28E-79,8.17E-77,
KRTAP5-AS1,2.683738147,1.998348067,24.49015752,0.006740902,0.021523473,
AC008443.1,2.511500085,0.800066809,11.07814944,0.00030467,0.001417548,
UQCRHL,-1.640958398,0.750205974,7.773173094,0.006338032,0.020392166,
LINC01191,2.640691515,1.360988801,14.25627254,0.005893282,0.019176442,
MAGI2-AS3,3.306919307,2.413091097,3.671000485,0.005056485,0.016858609,
SLC25A25-AS1,2.033254427,1.204473112,3.980888193,0.014328473,0.040527346,
C11orf94,2.492444902,1.534782969,7.724731815,0.009759317,0.029284317,
AL021392.1,1.530193352,3.57622752,2.44125215,0.014675245,0.041355601,
ZSCAN31,-1.568817147,0.853338011,6.233287431,0.014250425,0.040323123,
AL360181.2,1.802901249,0.662198955,17.75078695,0.001455447,0.005704394,
LURAP1L-AS1,2.555852934,0.887379848,12.43384944,0.000812631,0.003391084,
AC073046.1,1.829336572,0.4858073,45.59731757,3.90E-05,0.000222461,
AC019117.1,2.336015788,1.513109593,5.038778423,0.012296827,0.03566545,
AC003092.1,7.638826851,2.336455496,109.4711858,1.06E-09,1.18E-08,
AL033384.1,-4.04580037,1.362006336,4.556301635,0.000403316,0.001827236,
AC007666.1,3.71167003,2.226960882,8.091123876,0.001715622,0.006591198,
AC092809.4,-6.977132245,2.972237751,4.477367598,3.81E-05,0.000217546,
ZBTB40-IT1,7.004731991,2.357671277,44.02938105,8.17E-08,7.25E-07,
CKMT1B,-3.189701357,0.764765376,9.506774816,3.47E-06,2.39E-05,
RNF223,2.18665122,0.454726996,39.37376266,3.21E-07,2.60E-06,
FTCD-AS1,7.014150201,2.279589308,166.1708656,1.72E-08,1.69E-07,
PITRM1-AS1,3.119193163,1.351292904,12.27462156,0.002193424,0.008128157,
RGL2,0.623132011,0.240548144,77.04614593,0.007577034,0.023764335,
WAKMAR2,-3.094647964,0.814636124,10.36704719,1.95E-05,0.00011773,
C2orf74,-1.897994706,0.515491793,15.95943413,4.74E-05,0.000266465,
AL109615.3,3.717091034,3.026185137,2.416703814,0.005938268,0.019309165,
AL356356.1,4.018801636,1.272043688,63.09359729,0.00015719,0.000784814,
AL357079.1,2.903484373,1.364281328,4.45224147,0.004544774,0.015383341,
LINC01589,1.786577172,0.931760201,10.96249315,0.011457084,0.033618491,
LINC00707,2.37234457,0.36410082,53.41790783,1.52E-11,1.96E-10,
TXNDC5,-1.201741737,0.234741098,73.09208348,1.37E-07,1.18E-06,
CASTOR1,-2.676242768,0.573289258,17.22758203,4.10E-07,3.28E-06,
RNF103,1.980730781,0.310017541,95.23930016,4.72E-11,5.85E-10,
ALKBH6,0.941399877,0.402303189,28.52619079,0.010751449,0.031804929,
KMT2E-AS1,2.349338175,0.341580286,112.6208165,1.25E-12,1.77E-11,
NME1,-1.480725296,0.332786858,40.96292803,2.77E-06,1.94E-05,
CDRT4,1.209162916,0.520636003,18.93703324,0.008401917,0.025927205,
GET4,2.819004066,0.642473323,33.18885471,2.84E-06,1.99E-05,
LY6G5B,2.091681545,0.380992858,57.41596427,1.01E-08,1.02E-07,
PCDHGC3,-2.831762447,0.736513065,10.64372642,1.42E-05,8.80E-05,
AL139287.1,2.729514364,0.431008064,47.55518295,4.82E-11,5.97E-10,
MIF,-1.95537082,0.12157629,505.087889,7.32E-59,5.23E-57,
CRCP,1.597136531,0.264628666,72.27314842,5.03E-10,5.74E-09,
RPL36A,-2.43355969,0.230544048,103.0847801,7.70E-27,2.43E-25,
ATP5MF,-2.723605509,0.236649815,88.38466594,1.68E-31,6.36E-30,
ARHGAP8,0.915217481,0.399616003,26.80063719,0.01277549,0.036821587,
ARPC1A,-0.776989282,0.144769165,247.5005166,5.62E-08,5.09E-07,
SPRR2A,-4.055467533,0.448728773,69.75934394,1.44E-20,3.35E-19,
ATP5PO,-2.736035527,0.245292684,79.65869096,9.88E-30,3.45E-28,
C8orf58,1.491624412,0.41258894,29.08416058,0.000100523,0.000525263,
PISD,1.354314834,0.249123314,103.7827396,2.23E-08,2.13E-07,
PI4KA,0.86274819,0.361141884,33.94695829,0.010519347,0.031252312,
HYPK,2.898807342,2.173700707,8.504567977,0.0063446,0.020404447,
AMACR,-1.816850446,1.123932204,3.947964458,0.015286862,0.04275612,
SNHG3,1.210840521,0.337128635,38.44556804,0.000146423,0.000734243,
ARFGAP3,1.225391663,0.281024754,63.61172617,5.78E-06,3.84E-05,
