baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
64.48298665,0.341180255,0.525617054,0.056195018,0.200797391,NO,NA
8.513303046,0.104683538,0.363537963,0.572080344,0.756076271,NO,NA
312.7004634,0.309186452,0.5631477,0.022506477,0.11817632,NO,NA
11.70988649,-0.427620581,0.493892448,0.084924652,0.254910397,NO,NA
10.27540991,-0.231065668,0.340893692,0.301649949,0.526451694,NO,NA
32.64730542,-0.135539373,0.271076277,0.500300853,0.701958506,NO,NA
27.05065129,0.010198065,0.388484892,0.947374441,0.974558926,NO,NA
3.743046601,-0.030426443,0.355786853,0.865638608,0.934698332,NO,NA
26.53706484,-0.018368229,0.393893956,0.86188504,0.933433421,NO,NA
71.42689075,0.577011404,1.129772543,0.001044778,0.018885619,UP,NA
2.05760443,0.05772076,0.411270557,0.508052443,NA,NO,NA
19.62615447,0.108494505,0.393782874,0.517174055,0.715606864,NO,NA
42.23311726,-0.539620391,0.208750729,0.003801772,0.043499193,DOWN,NA
5.550427203,-0.101199238,0.400281691,0.48924554,0.693287807,NO,NA
23.83790039,-0.033430071,0.232671215,0.863330962,0.934037254,NO,NA
119.9434721,-0.684097154,0.185264764,5.55E-05,0.002467379,DOWN,NA
3.566940431,-0.038416616,0.41342544,0.608872777,0.780976676,NO,NA
85.34091353,-0.130268078,0.389879459,0.417795287,0.635227561,NO,NA
22.64867365,-0.239720166,0.364641556,0.260322658,0.485754671,NO,NA
19.91804165,0.039628391,0.393990391,0.769233706,0.881317147,NO,NA
30.71652495,-0.086178549,0.369815018,0.603332811,0.777962806,NO,NA
5.895114701,-0.014538363,0.391852254,0.902736156,0.95236195,NO,NA
5.795756015,0.322422766,0.418705974,0.181157526,0.392768258,NO,NA
35.7797994,-0.245977665,0.234269276,0.215848698,0.436841423,NO,NA
1.979528155,0.074697635,0.414046733,0.430116426,NA,NO,NA
95.9209191,0.039479439,0.423194463,0.002191997,0.03065982,DOWN,NA
11.04682688,-0.340475,0.349669862,0.158840277,0.361271851,NO,NA
2.785021583,0.300149945,0.587263036,0.006768403,NA,NO,NA
40.48427203,0.086431686,0.433306529,0.000351163,0.008930244,DOWN,NA
22.58962327,0.006730868,0.358098818,0.981025825,0.991960972,NO,NA
23.91747555,-0.405459437,0.250161355,0.050090241,0.188680626,NO,NA
1.009033356,-0.134859726,0.430877903,0.283843345,NA,NO,NA
12.96599321,0.044126808,0.423635091,0.031179738,0.144553876,NO,NA
2.725309581,-0.053803455,0.420757256,0.103812696,NA,NO,NA
1.710270311,0.016528741,0.410780331,0.865389597,NA,NO,NA
5.421556716,-0.011819208,0.416786048,0.712918704,0.846979543,NO,NA
23.07694701,0.003018558,0.366114336,0.993070303,0.997244349,NO,NA
68.02845745,0.190391742,0.24840915,0.336920768,0.562498414,NO,NA
17.94988823,-0.227491349,0.446095995,0.187618258,0.401734632,NO,NA
35.33004151,-1.126328561,0.262448628,2.47E-06,0.000283539,DOWN,NA
20.08609466,0.048149669,0.299043147,0.829842518,0.915683467,NO,NA
7.279281485,-0.177516673,0.455311856,0.096779211,0.27561708,NO,NA
25.81462359,0.043235094,0.383863208,0.764849218,0.878902613,NO,NA
23.38489765,-0.172196549,0.350475084,0.396051884,0.615921486,NO,NA
16.54876112,-0.261213821,0.265277878,0.217785862,0.439063327,NO,NA
0.804989914,0.037477398,0.418258877,0.562486087,NA,NO,NA
