"initial_alias","converted_alias","name","description","namespace"
"TMED5","50999","TMED5","transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP35","57558","USP35","ubiquitin specific peptidase 35 [Source:HGNC Symbol;Acc:HGNC:20061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STBD1","8987","STBD1","starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLF12","11278","KLF12","KLF transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:6346]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCAF4","26094","DCAF4","DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTHFD1L","25902","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYSTM1","84418","CYSTM1","cysteine rich transmembrane module containing 1 [Source:HGNC Symbol;Acc:HGNC:30239]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP3CC","5533","PPP3CC","protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDLIM2","64236","PDLIM2","PDZ and LIM domain 2 [Source:HGNC Symbol;Acc:HGNC:13992]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLCC1","23155","CLCC1","chloride channel CLIC like 1 [Source:HGNC Symbol;Acc:HGNC:29675]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SHLD2","54537","SHLD2","shieldin complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28773]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMIZ2","83637","ZMIZ2","zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHST3","9469","CHST3","carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P4HA1","5033","P4HA1","prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACADS","35","ACADS","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKN1","5585","PKN1","protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRP1","4035","LRP1","LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDC4","6385","SDC4","syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LRRFIP1","9208","LRRFIP1","LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB17","64284","RAB17","RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16523]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRMS","6725","SRMS","src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:HGNC:11298]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SH2D3A","10045","SH2D3A","SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
